feature,importance
desc_emb_603,0.0004177716667805723
desc_emb_583,0.0004176147783266667
desc_emb_35,0.0004169569673841176
desc_emb_607,0.0004156567338665393
desc_emb_528,0.000415614356756738
desc_emb_324,0.0004155239703617578
desc_emb_723,0.000415322582960204
desc_emb_729,0.0004152496665379628
desc_emb_476,0.00041463578944345874
desc_emb_59,0.0004143898238021653
desc_emb_628,0.00041432952995872654
desc_emb_663,0.0004138861337044531
desc_emb_329,0.00041382942939043987
desc_emb_494,0.0004127372778123929
desc_emb_257,0.0004126340012035195
desc_emb_441,0.0004119406749209594
desc_emb_347,0.0004117683449424331
desc_emb_162,0.0004117009199049295
desc_emb_483,0.00041138939847101607
desc_emb_437,0.0004113454085917503
desc_emb_585,0.00041104155049493117
desc_emb_209,0.00041080381655763374
desc_emb_734,0.00041079378935814206
desc_emb_516,0.0004107231390099319
desc_emb_3,0.0004103372539729163
desc_emb_83,0.0004102725559208813
desc_emb_295,0.00040988610845172496
desc_emb_608,0.00040917057453984673
desc_emb_100,0.00040895236489364695
desc_emb_647,0.00040893154017981767
desc_emb_407,0.00040890082491528394
desc_emb_307,0.00040871063478790525
desc_emb_428,0.00040861423106699026
desc_emb_179,0.0004085423386982662
desc_emb_680,0.00040834939101711915
desc_emb_532,0.00040827236433787215
desc_emb_88,0.0004082029499699927
desc_emb_386,0.00040810047879749205
desc_emb_168,0.00040796515056836137
desc_emb_224,0.0004078060256233471
desc_emb_753,0.0004077672021807831
desc_emb_732,0.00040773603463533964
desc_emb_129,0.00040751897830806785
desc_emb_388,0.0004073264744486384
desc_emb_562,0.00040695385871604526
desc_emb_194,0.00040685229986692944
desc_emb_418,0.00040668947705501356
desc_emb_389,0.00040617337374650577
desc_emb_304,0.0004059795535634334
desc_emb_551,0.00040594410164369735
desc_emb_735,0.00040579798573634883
desc_emb_748,0.000405698565066035
desc_emb_401,0.00040569297619283434
desc_emb_733,0.0004056572536936019
desc_emb_575,0.00040531079375781206
desc_emb_308,0.0004052651278748498
desc_emb_385,0.0004051472143059281
desc_emb_473,0.00040507018837093424
desc_emb_424,0.0004050252906334472
desc_emb_423,0.0004041661118871399
desc_emb_45,0.00040408361770634594
desc_emb_420,0.00040382749906169187
desc_emb_49,0.0004037818489361534
desc_emb_705,0.0004036117168723585
desc_emb_633,0.0004033658328043164
desc_emb_755,0.00040336368639608066
desc_emb_316,0.0004032070387097761
desc_emb_497,0.0004031418846981724
desc_emb_182,0.00040312085312255267
desc_emb_269,0.00040301683672158115
desc_emb_623,0.00040257358722518724
desc_emb_121,0.0004023721491517608
desc_emb_108,0.0004019821624239974
desc_emb_229,0.0004018001656441706
desc_emb_429,0.00040123279941337345
desc_emb_513,0.00040103733437969475
desc_emb_226,0.00040101614599311216
desc_emb_104,0.00040095788223052563
desc_emb_132,0.0004009512788095939
desc_emb_174,0.0004007644053541654
desc_emb_434,0.0004007444296488878
desc_emb_449,0.0004005401448553119
desc_emb_363,0.00040017773406964083
desc_emb_524,0.00039988803953185364
desc_emb_183,0.00039961534116016547
desc_emb_254,0.0003990891914685848
desc_emb_764,0.00039861680361390146
desc_emb_447,0.0003985837942808365
desc_emb_766,0.0003985076918317636
desc_emb_282,0.00039844236647744
desc_emb_300,0.00039812397893451045
desc_emb_277,0.0003973497286786922
desc_emb_95,0.00039726134430610917
desc_emb_201,0.00039706433685187835
desc_emb_700,0.00039688202919777325
desc_emb_589,0.0003968573124748468
desc_emb_23,0.00039632633291252634
desc_emb_232,0.0003963093621392346
desc_emb_36,0.0003962882865505879
desc_emb_537,0.00039591015889230244
desc_emb_492,0.00039553773022354277
desc_emb_593,0.0003953298804569205
desc_emb_642,0.0003950607000347224
desc_emb_222,0.00039483790682712423
desc_emb_335,0.00039471968109134763
desc_emb_228,0.0003943831228642976
desc_emb_708,0.00039436560575952754
desc_emb_313,0.0003942668378771786
desc_emb_221,0.0003942456181907361
desc_emb_676,0.0003941575123359836
desc_emb_52,0.00039326859009875876
desc_emb_725,0.0003930727656657477
desc_emb_266,0.0003927804839369149
desc_emb_18,0.0003927534365112142
desc_emb_192,0.0003926569106945163
desc_emb_38,0.00039219185763094083
desc_emb_696,0.0003918621624547513
desc_emb_356,0.00039151508861937675
desc_emb_185,0.00039100350023584473
desc_emb_675,0.00039082057438684516
desc_emb_138,0.0003903675354614497
desc_emb_99,0.0003902498709007533
desc_emb_730,0.00038990585776131777
desc_emb_502,0.0003898572504410805
desc_emb_627,0.000389757015878208
desc_emb_671,0.00038971595544681347
desc_emb_338,0.0003894316096014411
desc_emb_487,0.0003894292197496624
desc_emb_563,0.00038931082607360153
desc_emb_368,0.00038876394572039775
desc_emb_294,0.00038867722400723586
desc_emb_91,0.0003886108458607774
desc_emb_439,0.00038849792690474644
desc_emb_435,0.0003883355236277209
desc_emb_343,0.0003881636313718608
desc_emb_736,0.0003881206212274707
